a lot of	許多
ability	能力
abroad	國外
absent	缺席的
accept	接受
accident	意外的事
achieve	完成
act	行動
active	活躍的
activity	活動
actress	女演員
add	(添)加
addition	加
address	地址
adjective	形容詞的
admire	欽佩
admit	承認
adopt	收養
adult	成人
advance	前進
advantage	優勢
adventure	冒險
adverb	副詞
advertisement	廣告
advice	勸告
advise	勸告
affair	事情
affect	影響
against	違反
ahead	在前
aid	幫助
aids	愛滋病
aim	把…瞄準
air conditioner	空調機
aircraft	飛行器
airline	航線
airmail	航空信
alarm	警報
alarm clock	鬧鐘
album	相簿
alike	同樣的
alive	活著的
alley	弄
allow	允許
alone	單獨的
aloud	出聲地
alphabet	字母
already	已經
altogether	總共
ambulance	救護車
among	在…之中
amount	合計
ancient	已往的
angel	天使
anger	憤怒(n)  使發怒
ankle	踝
anyway	無論如何
anywhere	任何地方
apologize	道歉
appearance	出現
apply	申請(vi)  應用
appreciate	瞭解
area	地區
argue	爭論
armchair	扶手椅
army	軍隊
arrange	安排
arrest	逮捕
arrive	抵達
article	文章
as if	好像
as soon as	儘快
as well as	也
asia	亞洲
asian	亞洲(人)的(adj) 
asleep	睡覺的
assistant	助手
assume	假定
attack	攻擊
attend	出席
attention	注意
audience	聽眾
aunt	阿姨
australia	澳大利亞
australian	澳大利亞(人)的(adj
aux.v	助動詞
auxiliary	輔助的
available	可利用的
awake	喚醒
aware	意識到
baby sitter	褓母
backward	向後地(的)  相反地(
balcony	陽臺
balloon	氣球
bank	銀行
banker	銀行家
bar	條
barbecue	吃烤燒肉的野餐
barber	理髮師
bark	(狗等)吠
base	基地(n)  建立在…基
basement	地下室
basic	基本的
basis	基礎
bean	豆
beard	鬍鬚
beat	打
beautifully	美麗地
beer	啤酒
beginner	初學者
beginning	開始
behave	行為
being	be 的現在分詞(v) 
belief	信任
besides	在…旁邊
best	最好的(adj)  最好
better	較好的
beyond	在…那邊
bicycle riding	騎腳踏車
bill	帳單
biology	生物學
bit	一點
bitter	痛苦的
blame	責備
blank	空的
blood	血(液)  血統
blouse	女式襯衫
board	(木)板
boil	沸騰(vi)  使…沸騰
bomb	炸彈
bone	骨
book	書
bookcase	書櫥
both xxx and	兩個都…
bother	打擾
bow	弓(形物)  蝴蝶結(n
bowling	保齡球
boyfriend	男朋友
brain	腦(袋)  智力
branch	樹枝
brave	勇敢的
brick	磚
brief	摘要
britain	英國
british	不列顛(人)的
broad	寬的
broadcast	廣播
brunch	早午餐
bucket	水桶
buffet	自助餐廳(n)  打擊
building	建築物
bundle	包
burger	(口)漢堡
burst	爆裂(v)  爆炸
bus stop	公共汽車站
butterfly	蝴蝶
button	鈕扣
cabbage	甘藍菜
cabinet	(有抽屜或格子的)櫥櫃(
cable	粗索
cafeteria	自助餐廳
calendar	月曆
call	打電話
calm	平靜的
camping	露營
campus	校園
canada	加拿大
canadian	加拿大人
cancel	取消
cancer	癌
captain	上尉
career	(原意:道路
carefully	小心地
careless	不注意的
carpet	地毯
carrot	胡蘿蔔
cartoon	(報刊上的)政治性漫畫
cash	現金
cassette	(裝錄音帶的)卡式盒(匣
cause	原因
cd	光碟(Compact D
cd player	雷射唱片播放器
ceiling	天花板
cell	單元
centimeter	釐米
central	中央的
century	世紀
cereal	穀物
certain	確定的
certainly	的確
chairman	主席
channel	海峽
chapter	(書籍)章
character	性格
charge	索價
chart	海圖
chase	追趕
cheerleader	啦啦隊隊長
chemical	化學的
chief	首領
childhood	孩童時期
childish	孩子氣的
childlike	孩子似的
children	一個以上的孩童
chin	下巴
chinese new year	農曆新年
choice	選擇
choose	選擇
christmas eve	聖誕前夕
chubby	胖嘟嘟的
citizen	公民
claim	聲稱
class leader	班長
classic	傑作
classical	古典的
clever	聰明的
climate	氣候
climbing	攀登
closet	壁櫥
cloth	布
clothing	(總稱)衣服
coach	長途公共汽車
coast	海岸
cockroach	蟑螂
coin	硬幣
collection	收藏
college	大學
comfortably	舒適地
command	命令
comment	註釋
company	公司
compare	比較
complain	抱怨
complete	完全的
computer game	電腦遊戲
concern	關心
confident	自信的
confirm	證實
conflict	衝突(vi)  爭論
confuse	使混亂
congratulation	祝賀
connective	連結的
consider	認為
