en,zh
able,有能力的
about,關於、大約
above,在…之上
abroad,在國外
absent,缺席的
accept,接受
accident,意外
across,越過
act,行動
action,行動
active,主動、積極的
activity,活動
actor,男演員
actress,女演員
actually,事實上
add,增加
address,地址
admire,羨慕、欽佩
adult,成人
advertisement,廣告
advise,給建議
affect,影響
afraid,害怕的
after,在…之後
afternoon,下午
again,再次
against,反對、違反
age,年齡
ago,在…以前
agree,同意
ahead,事先、向前
aim,目標
air,空氣
airlines,航空公司
airport,機場
alarm,警鈴
album,相簿
alike,相像的
alive,活著的
allow,允許
almost,幾乎
alone,獨自的
along,沿著
aloud,大聲地
alphabet,字母表
already,已經
also,也
although,雖然
altogether,全然、總之
always,總是
ambulance,救護車
america,美國
american,美國人
among,在…之中
amount,數量
ancient,古老的
and,和、而且
angel,天使
anger,怒氣
angry,生氣的
animal,動物
ankle,腳踝
answer,回答
ant,螞蟻
anything,任何事
anywhere,任何地方
apartment,公寓
apologize,道歉
appear,出現
apple,蘋果
appreciate,感激
april,四月
area,地區
argue,爭執(論)
arm,手臂
armchair,扶手椅
army,軍隊
around,在週圍
arrange,安排
arrive,抵達
art,美術
artist,藝術家
as,當…時
ask,問
asleep,睡著的
assistant,助理
assume,假設、假想
at,在
attack,攻擊
attention,注意力
august,八月
aunt,姑.姨.嬸.伯/舅母
available,可用的、有效的
avoid,避免 + V-ing
away,離開
baby,嬰兒、寶貝
back,後面
backpack,背包
backward,往後
bad,壞的
badminton,羽毛球
bag,袋子、包包
bake,烤、烘焙
bakery,麵包店
balcony,陽台
balloon,氣球
banana,香蕉
band,樂團
bank,銀行
barbecue,烤肉
barber,理髮師
bark,吠、叫
base,基地、壘包
baseball,棒球
basement,地下室
basic,基本的、基礎的
basket,籃子
basketball,籃球
bat,蝙蝠
bath,沐浴
bathe,沐浴
bathroom,浴室
beach,沙灘
bean,豆子
bear,熊
beard,鬍子
beat,打、擊
beautiful,漂亮的
beauty,美麗
because,因為
become,成為
bed,床
bedroom,臥室
bee,蜜蜂
beef,牛肉
beer,啤酒
before,在…之前
begin,開始
beginner,初學者
beginning,開始
behave,表現、行為舉止
behind,在…後面
believe,相信
bell,鈴、鈴鐺
below,在…之下
belt,皮帶
bench,長凳
beside,在…旁邊
besides,除了…之外
between,在…之間
beyond,超越於
big,大的
bill,帳單
biology,生物
bird,鳥
birthday,生日
bite,咬
bitter,苦的
black,黑色(的)
blackboard,黑板
blame,責罵
blank,空格
blanket,毯子
bless,祝福
blind,盲的
block,街區
blood,血
blouse,短上衣
blow,吹
blue,藍色(的)
board,板
boat,小船
body,身體
boil,煮沸
bomb,炸彈
bone,骨頭
book,書
bookcase,書架
bookstore,書店
bored,感到無聊的
boring,枯燥無趣的
born,出生的、誕生的
borrow,借(入)
boss,上司、老闆
both,兩者(都)…
bother,打擾
bottle,一瓶
bottom,底部
bow,鞠躬
bowl,碗
bowling,保齡球
boy,男孩
branch,分枝
brave,勇敢的
bread,麵包
break,破裂、破壞
breakfast,早餐
brick,磚塊
