W1	2026-08-02	2026-08-08
W2	2026-08-09	2026-08-15
W3	2026-08-16	2026-08-22
W4	2026-08-23	2026-08-29
W5	2026-08-30	2026-09-05
W6	2026-09-06	2026-09-12
W7	2026-09-13	2026-09-19
W8	2026-09-20	2026-09-26
W9	2026-09-27	2026-10-03
W10	2026-10-04	2026-10-10
W11	2026-10-11	2026-10-17
W12	2026-10-18	2026-10-24
W13	2026-10-25	2026-10-31
W14	2026-11-01	2026-11-07
W15	2026-11-08	2026-11-14
W16	2026-11-15	2026-11-21
W17	2026-11-22	2026-11-28
W18	2026-11-29	2026-12-05
W19	2026-12-06	2026-12-12
W20	2026-12-13	2026-12-19
W21	2026-12-20	2026-12-26
W22	2026-12-27	2027-01-02
W23	2027-01-03	2027-01-09
W24	2027-01-10	2027-01-16
W25	2027-01-17	2027-01-23
W26	2027-01-24	2027-01-30
W27	2027-01-31	2027-02-06
W28	2027-02-07	2027-02-13
W29	2027-02-14	2027-02-20
W30	2027-02-21	2027-02-27
W31	2027-02-28	2027-03-06
W32	2027-03-07	2027-03-13
W33	2027-03-14	2027-03-20
W34	2027-03-21	2027-03-27
W35	2027-03-28	2027-04-03
W36	2027-04-04	2027-04-10
W37	2027-04-11	2027-04-17
W38	2027-04-18	2027-04-24
W39	2027-04-25	2027-05-01
W40	2027-05-02	2027-05-08
W41	2027-05-09	2027-05-15
W42	2027-05-16	2027-05-22
W43	2027-05-23	2027-05-29
W44	2027-05-30	2027-06-05
W45	2027-06-06	2027-06-12
W46	2027-06-13	2027-06-19
W47	2027-06-20	2027-06-26
W48	2027-06-27	2027-07-03
